Dataset,Scheme,Parameter,Actual_Missing_Rate,Method,accuracy,balanced_accuracy,f1,roc_auc
Spambase,Oracle,0.0,0.0,Oracle,0.9239956568946797,0.9185032139577594,0.9025069637883009,0.9710645062551221
Spambase,MCAR,0.1,0.886231884057971,Naive,0.9218241042345277,0.916711099262419,0.9,0.9555180346969203
Spambase,MCAR,0.1,0.886231884057971,LabelProp_CNe,0.8816503800217155,0.8638214994519979,0.8385185185185186,0.9513808663368781
Spambase,MCAR,0.1,0.886231884057971,Sportisse_EM,0.6058631921824105,0.5,0.0,0.9391767133702618
Spambase,MCAR,0.3,0.6952898550724638,Naive,0.9109663409337676,0.9034183476998726,0.8848314606741573,0.964878501535393
Spambase,MCAR,0.3,0.6952898550724638,LabelProp_CNe,0.8990228013029316,0.8882668325483575,0.8673323823109843,0.9584209642860669
Spambase,MCAR,0.3,0.6952898550724638,Sportisse_EM,0.6091205211726385,0.5041322314049587,0.01639344262295082,0.9519387422613229
Spambase,MCAR,0.5,0.5072463768115942,Naive,0.9229098805646037,0.9185698628513878,0.9017980636237898,0.9643304995211154
Spambase,MCAR,0.5,0.5072463768115942,LabelProp_CNe,0.9022801302931596,0.8914363577120176,0.8714285714285714,0.957166977694837
Spambase,MCAR,0.5,0.5072463768115942,Sportisse_EM,0.5722041259500543,0.645027992535324,0.64568345323741,0.9265381083562901
Spambase,MCAR,0.7,0.3036231884057971,Naive,0.9283387622149837,0.9249755620723363,0.9090909090909091,0.9690699764013547
Spambase,MCAR,0.7,0.3036231884057971,LabelProp_CNe,0.9207383279044516,0.9158150419147486,0.8987517337031901,0.9705461259713459
Spambase,MCAR,0.7,0.3036231884057971,Sportisse_EM,0.8360477741585234,0.8541055718475073,0.8187274909963985,0.9534099548762306
Spambase,MCAR,0.9,0.10398550724637681,Naive,0.9196525515743756,0.9129935720844812,0.896358543417367,0.9705856216120146
Spambase,MCAR,0.9,0.10398550724637681,LabelProp_CNe,0.9207383279044516,0.9143709825528008,0.8979020979020979,0.9716174452244835
Spambase,MCAR,0.9,0.10398550724637681,Sportisse_EM,0.9131378935939196,0.9066545217571611,0.888268156424581,0.9547478697038814
Spambase,MAR1,default,0.4967391304347826,Naive,0.9055374592833876,0.9023075328060666,0.8809849521203831,0.9587912359173357
Spambase,MAR1,default,0.4967391304347826,LabelProp_CNe,0.9011943539630836,0.8895775941230486,0.8694404591104734,0.9628642238612913
Spambase,MAR1,default,0.4967391304347826,Sportisse_EM,0.9044516829533116,0.9062250066648894,0.8829787234042553,0.9614571916624702
Spambase,MAR2,default,0.38731884057971017,Naive,0.9207383279044516,0.9134082763115021,0.8973277074542897,0.9681270179803904
Spambase,MAR2,default,0.38731884057971017,LabelProp_CNe,0.9207383279044516,0.9158150419147486,0.8987517337031901,0.9661621098571246
Spambase,MAR2,default,0.38731884057971017,Sportisse_EM,0.6503800217155266,0.7085814153262834,0.6891891891891891,0.9396654719235366
