Dataset,Scheme,Parameter,Actual_Missing_Rate,Method,accuracy,balanced_accuracy,f1,roc_auc
Spambase,Oracle,0.0,0.0,Oracle,0.9218241042345277,0.9162297461417697,0.8997214484679665,0.9714002192008057
Spambase,MCAR,0.1,0.0967391304347826,Naive,0.9239956568946797,0.9204286264403567,0.9035812672176309,0.9713113540093012
Spambase,MCAR,0.1,0.0967391304347826,LabelProp_CNe,0.9294245385450597,0.9225021475754613,0.9085794655414908,0.9701314217443251
Spambase,MCAR,0.1,0.0967391304347826,Sportisse_EM,0.9174809989142236,0.9131268698717379,0.8950276243093923,0.9602328268017417
Spambase,MCAR,0.3,0.2847826086956522,Naive,0.9283387622149837,0.9220874433484405,0.907563025210084,0.9695291132241278
Spambase,MCAR,0.3,0.2847826086956522,LabelProp_CNe,0.9207383279044516,0.9134082763115021,0.8973277074542897,0.9701561065197429
Spambase,MCAR,0.3,0.2847826086956522,Sportisse_EM,0.8577633007600435,0.8710640125596137,0.8380716934487021,0.9492481017407703
Spambase,MCAR,0.5,0.4971014492753623,Naive,0.9044516829533116,0.8913030599247609,0.8724637681159421,0.9637775605517541
Spambase,MCAR,0.5,0.4971014492753623,LabelProp_CNe,0.9174809989142236,0.9083133386652449,0.8920454545454546,0.9660337490249513
Spambase,MCAR,0.5,0.4971014492753623,Sportisse_EM,0.5580890336590663,0.63386060013626,0.6388642413487134,0.9393593807083542
Spambase,MCAR,0.7,0.7003623188405798,Naive,0.9142236699239956,0.9094759915874285,0.8907330567081605,0.9582086752174728
Spambase,MCAR,0.7,0.7003623188405798,LabelProp_CNe,0.8935939196525515,0.8857119582926034,0.8627450980392157,0.9520769770036632
Spambase,MCAR,0.7,0.7003623188405798,Sportisse_EM,0.4028230184581976,0.507168458781362,0.5689655172413793,0.9441136684538443
Spambase,MCAR,0.9,0.9050724637681159,Naive,0.8859934853420195,0.8727006131698214,0.8484848484848485,0.9458761614186835
Spambase,MCAR,0.9,0.9050724637681159,LabelProp_CNe,0.8610206297502715,0.8309117568648361,0.7961783439490446,0.9476584022038568
Spambase,MCAR,0.9,0.9050724637681159,Sportisse_EM,0.3952225841476656,0.5008960573476703,0.5658612626656274,0.9203126079958924
Spambase,MAR1,default,0.5365942028985508,Naive,0.9131378935939196,0.9085799342397582,0.8895027624309392,0.9593244270663626
Spambase,MAR1,default,0.5365942028985508,LabelProp_CNe,0.9044516829533116,0.899486062975799,0.8784530386740331,0.9595021574493714
Spambase,MAR1,default,0.5365942028985508,Sportisse_EM,0.4147665580890337,0.5160623833644362,0.5725614591593973,0.9257630064081677
Spambase,MAR2,default,0.5887681159420289,Naive,0.9174809989142236,0.9107201042684914,0.8935574229691877,0.9689169307937635
Spambase,MAR2,default,0.5887681159420289,LabelProp_CNe,0.8903365906623235,0.8758034894398531,0.8529839883551674,0.9627901695350375
Spambase,MAR2,default,0.5887681159420289,Sportisse_EM,0.498371335504886,0.5855401522556948,0.6104553119730185,0.9187130345488116
Spambase,MNAR,default,0.7742753623188405,Naive,0.8718783930510315,0.8451672146686809,0.815625,0.9610770461210344
Spambase,MNAR,default,0.7742753623188405,LabelProp_CNe,0.738327904451683,0.6690067833762848,0.5071574642126789,0.9371772465614108
Spambase,MNAR,default,0.7742753623188405,Sportisse_EM,0.3963083604777416,0.5017921146953405,0.5663026521060842,0.9405294390631634
Musk V2,Oracle,0.0,0.0,Oracle,0.9272727272727272,0.8381175827228987,0.75,0.9588270834527742
Musk V2,MCAR,0.1,0.10257705912076806,Naive,0.9257575757575758,0.8432686074151823,0.75,0.9588535441960564
Musk V2,MCAR,0.1,0.10257705912076806,LabelProp_CNe,0.9295454545454546,0.8455067452844751,0.7596899224806202,0.9592416350975299
Musk V2,MCAR,0.1,0.10257705912076806,Sportisse_EM,0.9272727272727272,0.8219941698162301,0.7391304347826086,0.9561942394961874
Musk V2,MCAR,0.3,0.3062152602324406,Naive,0.9287878787878788,0.8490899709372837,0.7602040816326531,0.9561854192484268
Musk V2,MCAR,0.3,0.3062152602324406,LabelProp_CNe,0.9348484848484848,0.8567018447548191,0.7783505154639175,0.9552857539768291
Musk V2,MCAR,0.3,0.3062152602324406,Sportisse_EM,0.8628787878787879,0.8423931978249268,0.6457925636007827,0.9295218102676506
Musk V2,MCAR,0.5,0.4946942900454775,Naive,0.9287878787878788,0.8450591177106165,0.7577319587628866,0.957953878924459
Musk V2,MCAR,0.5,0.4946942900454775,LabelProp_CNe,0.9333333333333333,0.8477448831537677,0.7696335078534031,0.9520928242874342
