accuracy,balanced_accuracy,f1,roc_auc,Method,Dataset,Mechanism,Missing_Ratio
0.9218241042345277,0.9157483930211203,0.8994413407821229,0.9677221876635368,Oracle,Spambase,MCAR,0.3079710144927536
0.9239956568946797,0.9175405077164608,0.9019607843137255,0.966014001204617,Naive,Spambase,MCAR,0.3079710144927536
0.8295331161780674,0.789522793921621,0.7352445193929174,0.9624100239936016,Unlabeled (CNe),Spambase,MCAR,0.3079710144927536
0.8262757871878393,0.7853905625166622,0.7288135593220338,0.9599316725416434,Unlabeled (Sportisse EM),Spambase,MCAR,0.3079710144927536
0.9218241042345277,0.9157483930211203,0.8994413407821229,0.9677221876635368,Oracle,Spambase,MAR1,0.48079710144927534
0.9087947882736156,0.9021075861251815,0.88268156424581,0.964962429771814,Naive,Spambase,MAR1,0.48079710144927534
0.7079261672095548,0.6318833496252851,0.42398286937901497,0.9514450467529646,Unlabeled (CNe),Spambase,MAR1,0.48079710144927534
0.7133550488599348,0.6392517550875322,0.4430379746835443,0.9488432714239168,Unlabeled (Sportisse EM),Spambase,MAR1,0.48079710144927534
0.9218241042345277,0.9157483930211203,0.8994413407821229,0.9677221876635368,Oracle,Spambase,MAR2,0.4076086956521739
0.9120521172638436,0.9052771112888416,0.8867132867132868,0.9626469978376138,Naive,Spambase,MAR2,0.4076086956521739
0.7339847991313789,0.6668666133475518,0.5090180360721442,0.955285997807992,Unlabeled (CNe),Spambase,MAR2,0.4076086956521739
0.9109663409337676,0.8971607571314316,0.880466472303207,0.9624840783198554,Unlabeled (Sportisse EM),Spambase,MAR2,0.4076086956521739
0.9218241042345277,0.9157483930211203,0.8994413407821229,0.9677221876635368,Oracle,Spambase,MNAR,0.8405797101449275
0.8403908794788274,0.8066663704493616,0.7617504051863857,0.945194861617149,Naive,Spambase,MNAR,0.8405797101449275
0.6058631921824105,0.5,0.0,0.923146420213869,Unlabeled (CNe),Spambase,MNAR,0.8405797101449275
0.6058631921824105,0.5,0.0,0.9022063252268531,Unlabeled (Sportisse EM),Spambase,MNAR,0.8405797101449275
